GS,G,Assist_Pct,Usage_Pct,DRtg,Rising_Star
0,42,12.4,17.6,113,0
0,1,0,0,69,0
42,65.66666667,8.1,20.6,113,0
1,30.33333333,25.6,18.2,112,0
1,63,7,25.1,109,0
0.5,14.5,8.1,12.8,111,0
5,37.5,5.9,25.9,110,0
49.66666667,78,16.2,19.2,104,0
13,57,8.3,11.6,105,0
0,4,8.3,7,96,0
0,4,6.7,9,104,0
0,33,7.9,17,108,0
0,3,0,28.6,113,0
10.33333333,71.66666667,26.2,15.9,111,0
34.66666667,67,6.4,15.9,107,0
4,32,3.5,14.3,110,0
0,2,0,24.4,119,0
25,69.66666667,6.8,13.9,111,0
0,12.5,3.3,23.5,113,0
5.333333333,54.66666667,7.3,15.8,110,0
0,12,4.9,23.5,106,0
75.5,75.5,12.3,28.3,112,0
56.66666667,63.33333333,37.3,26.7,108,0
0,8,1.9,9.8,115,0
0,9,7.9,15,114,0
63.66666667,65,10.1,18.4,110,0
1,48,8,22,107,0
13,36,6.4,11.5,108,0
7,26,2.9,13.1,105,0
40,73.5,9.8,12.4,115,0
80,80,24.8,18.4,112,0
0,8.5,10.2,24.2,108,0
10,36,29.4,25.1,113,0
2.666666667,40,9.1,19.3,106,0
2.333333333,62.66666667,10.9,23.7,108,0
0,2,5.4,9,116,0
44.5,72.5,9.4,20,114,0
35.66666667,55.66666667,5.7,21.4,104,0
